Actual Labels,Predicted Labels,Decision Values
1,1,0.6262659301482831
6,0,0.42020048080574407
25,1,0.5400158770967594
355,0,0.371932706182706
492,0,0.32984023741995877
6,1,0.6365371572871573
56,0,0.3145115129968071
0,1,0.6150830493036374
698,0,0.2366911976911977
0,0,0.09522853535353537
10,1,0.7020976245976246
0,0,0.495545066045066
5,1,0.5142678571428569
1927,0,0.22033662171162172
0,0,0.2069778979190744
843,0,0.36957772782772785
1,0,0.36357419378007605
7,1,0.5048635220988162
118,1,0.7021212953712954
71,0,0.47623255012960897
4173,0,0.10448971861471862
22,1,0.6537453379953381
0,1,0.5164434862523098
6,0,0.4757393276657983
121,0,0.4249491162432338
4,1,0.521606782106782
16,1,0.6627711593961594
1,1,0.6191634337884337
0,0,0.4440366994116994
341,1,0.5992580111666799
45,1,0.8192330088212441
0,0,0.15791244866244866
921,0,0.20294076829603142
3,1,0.9023022533022532
29,1,0.6501684287934285
1,1,0.8832067654567655
0,1,0.5448318348318348
742,0,0.12493172105672104
3,1,0.623286075036075
0,0,0.041143356643356645
0,0,0.47178453082864846
199,0,0.3260639540198364
73,1,0.7059220224220222
8,1,0.7147649536136379
12,0,0.49721624209124216
1836,0,0.26837796998323316
223,0,0.45858213277950105
6,1,0.5774024872186637
91,0,0.39134656030244275
5,0,0.31106293706293703
72,1,0.5855635891885889
139,0,0.37070732045732036
21,1,0.5425608842911473
0,1,0.5516358363858364
5,1,0.6266718281718281
25,1,0.5999564295353768
77,1,0.6785025807525806
148,0,0.39822111222111206
0,1,0.5534236253942136
0,1,0.6595028582528581
19,0,0.48858577782726376
4,1,0.6775716505716507
8016,0,0.12334368409368407
2,1,0.698603750824339
252,0,0.47660127445653777
